GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Calculator with JUnit5 and Cucumber tests,calculator,Divides,12,27,0,2,4,9,1,4,1,3
Calculator with JUnit5 and Cucumber tests,calculator,Times,12,20,0,0,4,7,1,3,1,3
Calculator with JUnit5 and Cucumber tests,calculator,Plus,12,20,0,0,4,7,1,3,1,3
Calculator with JUnit5 and Cucumber tests,calculator,CalculatorUI,235,0,8,0,42,0,9,0,5,0
Calculator with JUnit5 and Cucumber tests,calculator,IllegalConstruction,0,3,0,0,0,1,0,1,0,1
Calculator with JUnit5 and Cucumber tests,calculator,MyNumber,2,49,1,7,0,17,1,12,0,9
Calculator with JUnit5 and Cucumber tests,calculator,Operation,29,189,5,14,8,44,5,21,2,14
Calculator with JUnit5 and Cucumber tests,calculator,Minus,12,20,0,0,4,7,1,3,1,3
Calculator with JUnit5 and Cucumber tests,calculator,Notation,0,21,0,0,0,4,0,1,0,1
Calculator with JUnit5 and Cucumber tests,calculator,Calculator,35,14,0,0,10,4,2,2,2,2
Calculator with JUnit5 and Cucumber tests,visitor,Visitor,0,3,0,0,0,1,0,1,0,1
Calculator with JUnit5 and Cucumber tests,visitor,Evaluator,0,67,0,4,0,15,0,6,0,4
